sheet	longname	prefix	key	keystrokes	jump	selection	modifies	logged	video	menupath	helpstr
Sheet	searchr-cols	g	?	g?	n	n	n	n		view-find-row-viscol-backward	search for regex backwards over all visible columns
Sheet	searchr-expr	z	?	z?	n	n	n	n		info-manpage	search by Python expression backwards
Sheet	select-after	gz	s	gzs	n	change	n	y		rows-select-from-cursor	select all rows from cursor to bottom
Sheet	select-before	z	s	zs	n	change	n	y		rows-select-to-cursor	select all rows from top to cursor
Sheet	select-col-regex		|	|	n	change	n	y	4	rows-select-regex	select rows matching regex in current column
Sheet	select-cols-regex	g	|	g|	n	change	n	y		rows-select-regex-all	select rows matching regex in any visible column
Sheet	select-equal-cell		,	,	n	change	n	y	4,5	rows-select-like-cell	select rows matching current cell in current column
Sheet	select-equal-row	g	,	g,	n	change	n	y		rows-select-like-row	select rows matching current row in all visible columns
Sheet	select-expr	z	|	z|	n	change	n	y		rows-select-expr	select rows with a Python expression
Sheet	select-row		s	s	n	change	n	y	2,5	rows-select-current	select current row
Sheet	select-rows	g	s	gs	n	change	n	y	5	rows-select-all	select all rows
Sheet	set-option				n	n		y			set option on current sheet
Sheet	setcol-expr	g	=	g=	n	use	y	y	3,5	modify-set-column-selected-expr	set current column for selected rows to result of Python expression
Sheet	setcol-range	gz	=	gz=	n	use	y	y	3	modify-set-column-sequence	set current column for selected rows to the items in result of Python sequence expression
Sheet	setcol-subst	g	*	g*	n	use	y	y	4	modify-add-column-regex-transform-foo	regex/subst - modify selected rows replacing regex with subst, which may include backreferences) \1 etc) for current column
Sheet	setcol-subst-all	gz	*	gz*	n	use	y	y			regex/subst - modify selected rows replacing regex with subst, which may include backreferences (\1 etc) for all visible columns
Sheet	show-aggregate	z	+	z+	n	n	n	y	1	column-aggregator-show	display result of aggregator over all values in current column
Sheet	show-cursor		^G	^G	n	n	n	n		info-sheet	show cursor position and bounds of current sheet on status line
Sheet	show-expr	z	=	z=	n	n	n	y		python-eval-row	evaluate Python expression on current row and show result on status line
Sheet	slide-bottom	g	J	gJ	n	n	n	y		slide-row-bottom	slide current row to the bottom of sheet
Sheet	slide-down		J	J	n	n	n	y		slide-row-down	slide current row down
Sheet	slide-down-n	z	J	zJ	n	n	y	y		slide-row-down-n	slide current row down n
Sheet	slide-left		H	H	n	n	n	y		slide-col-left	slide current column left
Sheet	slide-left-n	z	H	zH	n	n	y	y		slide-col-left-n	slide current column left n
Sheet	slide-leftmost	g	H	gH	n	n	n	y	5	slide-col-leftmost	slide current column all the way to the left of sheet
Sheet	slide-right		L	L	n	n	n	y	5	slide-col-right	slide current column right
Sheet	slide-right-n	z	L	zL	n	n	y	y		slide-col-right-n	slide current column right n
Sheet	slide-rightmost	g	L	gL	n	n	n	y		slide-col-rightmost	slide current column all the way to the right of sheet
Sheet	slide-top	g	K	gK	n	n	n	y		slide-row-top	slide current row the top of sheet
Sheet	slide-up		K	K	n	n	n	y		slide-row-up	slide current row up
Sheet	slide-up-n	z	K	zK	n	n	y	y		slide-row-up-n	slide current row up n
Sheet	sort-asc		[	[	n	n	n	y		rows-sort-asc	sort ascending by current column
Sheet	sort-desc		]	]	n	n	n	y		rows-sort-desc	sort descending by current column
Sheet	sort-keys-asc	g	[	g[	n	n	n	y		rows-sort-keys-asc	sort ascending by all key columns
Sheet	sort-keys-desc	g	]	g]	n	n	n	y		rows-sort-keys-desc	sort descending by all key columns
Sheet	split-col		:	:	n	n	n	y	1	modify-add-column-regex-split	add new columns from regex split; # columns determined by example row at cursor
