sheet	longname	prefix	key	keystrokes	jump	selection	modifies	logged	video	menupath	helpstr
Canvas	delete-cursor		d	d	n	n	source	y			delete rows on source sheet contained within canvas cursor
Canvas	delete-visible	g	d	gd	n	n	source	y			delete rows on source sheet visible on screen
Canvas	dive-cursor		Enter	Enter	y	n	n	y			open sheet of source rows contained within canvas cursor
Canvas	dive-visible	g	Enter	gEnter	y	n	n	y			open sheet of source rows visible on screen
Canvas	end-cursor			BUTTON1_RELEASED	n	n	n	n			end cursor box with left mouse button release
Canvas	end-move			BUTTON3_RELEASED	n	n	n	n			mark canvas anchor point
Canvas	go-bottom				n	n	n	n			
Canvas	go-down				n	n	n	n			
Canvas	go-down-small				n	n	n	n			
Canvas	go-left				n	n	n	n			
Canvas	go-left-small				n	n	n	n			
Canvas	go-leftmost				n	n	n	n			
Canvas	go-right				n	n	n	n			
Canvas	go-right-small				n	n	n	n			
Canvas	go-rightmost				n	n	n	n			
Canvas	go-top				n	n	n	n			
Canvas	go-up				n	n	n	n			
Canvas	go-up-small				n	n	n	n			
Canvas	resize-cursor-doubleheight	g	K	gK	n	n	n	n			
Canvas	resize-cursor-doublewide	g	L	gL	n	n	n	n			
Canvas	resize-cursor-halfheight	g	J	gJ	n	n	n	n			
Canvas	resize-cursor-halfwide	g	H	gH	n	n	n	n			
Canvas	resize-cursor-shorter		K	K	n	n	n	n			
Canvas	resize-cursor-taller		J	J	n	n	n	n			
Canvas	resize-cursor-thinner		H	H	n	n	n	n			
Canvas	resize-cursor-wider		L	L	n	n	n	n			
Canvas	select-cursor		s	s	n	change	n	y			select rows on source sheet contained within canvas cursor
Canvas	select-visible	g	s	gs	n	change	n	y			select rows on source sheet visible on screen
Canvas	set-aspect	z	_	z_	n	n	n	n			set aspect ratio
Canvas	start-cursor			BUTTON1_PRESSED	n	n	n	n			start cursor box with left mouse button press
Canvas	start-move			BUTTON3_PRESSED	n	n	n	n			mark grid point to move
Canvas	stoggle-cursor		t	t	n	change	n	y			toggle selection of rows on source sheet contained within canvas cursor
Canvas	stoggle-visible	g	t	gt	n	change	n	y			toggle selection of rows on source sheet visible on screen
Canvas	unselect-cursor		u	u	n	change	n	y			unselect rows on source sheet contained within canvas cursor
Canvas	unselect-visible	g	u	gu	n	change	n	y			unselect rows on source sheet visible on screen
Canvas	zoom-all		_	_	n	n	n	n			zoom to fit full extent
Canvas	zoom-cursor			zz	n	n	n	n			set visible bounds to cursor
Canvas	zoomin-cursor		+	+	n	n	n	n			zoom into cursor center
Canvas	zoomin-mouse			BUTTON4_PRESSED	n	n	n	n			zoom in with scroll wheel
Canvas	zoomout-cursor			-	n	n	n	n			zoom out from cursor center
Canvas	zoomout-mouse			REPORT_MOUSE_POSITION	n	n	n	n			zoom out with scroll wheel
BaseSheet	cancel-sheet		^C	^C	n	n	n	n		meta-threads-cancel-sheet	abort all threads on current sheet
BaseSheet	reload-sheet		^R	^R	n	n	should confirm if modified; marks as unmodified	y		sheet-reload	reload current sheet
BaseSheet	rename-sheet				n	n		y			rename current sheet to input
